cleaned_content,sentiment
aplikasi yang sangat membantu bagi saya yang sering bepergian di dalam kota.,1
ok,1
sangat membantu,1
sangat mengecewakan.sulit untuk pesan betransaksi tiket.mohon di perbaiki,0
"tarif di aplikasi tidak sesuai dengan pakai kartu. untuk jam 5-7 pagi harusnya 2rb tetapi tetap 3500. dan juga saya sudah coba beli, transaksi sudah berhasil dan saldo di astrapay saya terpotong tetapi tiketnya tidak muncul sehingga tidak bisa digunakan",0
baik,1
kecewa.dftr pakai email tidak bisa terus,0
server nya tidak ok .dibelain sampai tidak tidur ngewar tiket wajah menangis keras gagal terus,0
aplikasi nya kurang update . gangguan terus harusnya bisa lebih update untuk metode pembayararan.kalau ini seolah belum siap tapi di paksakan,0
mantap,1
friendly used! enjoy mendentingkan gelas,1
alus pokokna mah,1
is the best,1
"aplikasi paling payah! sering error,posisi armada sering tidak akurat",0
ini aplikasi error apa bagaimana min. sudah pesan tiket via kai pay tapi tiketnya hilang belum ada notifikasi padahal saldo kepotong,0
bagus,1
"jadwal commuter line cikarang nya tidak akurat, ketinggalan kereta jadinya",0
ok,1
"aplikasinya mudah di pahami, mempermudah penggunaan transjakarta, semoga kedepannya lebih bagus lagi dengan pengaplikasian yang lebih simpel lagi",1
ini aplikasi nya kok error terus ya pas mau msukin data pribadi tolong dong,0
mudah dan membantu,1
"buat warga jakarta, aplikasi ini wajib banget di-instal. informasi lengkap tentang rute, halte, bahkan integrasi dengan mrt dan lrt juga ada. saya paling suka fitur eta (perkiraan waktu kedatangan bus), meski sesekali masih meleset tapi sangat membantu.",1
mau bayar pakai ovo error terus,0
jadi tidak bisa di pakai karena mode pengembanagn mode saya di aktifkan. padahal di versi sebelumnya aman saja,0
bagus sangat membantu,1
"""aplikasi jakart,memudahkan perjalan ku yang jauh.",1
"senang setelah ada mrt ke mana"" jadi lebih gampang",1
bagus,1
aplikasi butut,0
"sudah lebih better,",1
"buruk, tidak bisa di pesan baru 3detik langsung habis. sekalinya ada tidak bisa diklik juga time out mulu error mulu. calo nya orang dalem ya",0
baik,1
bagus,1
ok,1
"aplikasi nya bagus jadi kita mempermudah mengetahui jarak bus dan tidak lemot saat di gunakan , terimkasih tranjakarta",1
bagus,1
"sudah isi kode otp tapi masih loading di halaman tersebut, sudah klik lanjut masih loading juga sampai timernya habis.",0
transportasi yang nyaman,1
cepat dan praktis untuk memesan tiket kereta,1
ok thanks,1
habis update malah lemot,0
keren,1
mantap,1
keren,1
semakin maju,1
baik,1
aplikasi di update bukan malah makin bagus tapi malah makin ribet. masa pesan tiket lokal semua data sudah sesuai tapi tetap saja loading. ending nya error,0
terima kasih tj liburan nya bisa keliling jakarta wajah tersenyum lebar bermata hati,1
"aplikasi butut, mau pesan tiket di suruh jadi member basic. langkah langkah sudah di ikuti. upgrate member berhasil, di meminta lihat profil. masih saja belum berubah ke basic member. pesan lagi tiket. di meminta lagi upgrade basic member. begitu saja terus. aplikasi kok bloon ya",0
"adanya ini sangat mempermudah dalam segala hal, mantap.",1
lama downloadnya,0
top,1
"sok far puas sama kai ya cuman ya begitu aplikasi sering update terus padahal baru kemarin sekarang sudah disuruh update lagi maana posisi lagi gupuh2 nya, tlong min biar tidak upgrade2 terus melipat tangan",0
mantul wajah tersenyum dengan 3 hati wajah tersenyum dengan 3 hati wajah tersenyum dengan 3 hati wajah tersenyum dengan 3 hati,1
mantap,1
solusi tepat di jaman now,1
mantap,1
bagus,1
"jam berapa eskalator st bojonggede mulai beraktifitas setiap harinya? ayo membenahi tangga manual diarah terminal stasiun bojonggede belakang ! keramiknya sudah kebuka semua itu! penutup sky bridge bojonggede, penutup atap eskalator semua bocor saat hujan besar. come on perbaikan benahi fasilitas publik. kurang apa pajak kami, bonus kami, bayaran tiket kami tidak bisa membuat fasilitas publik membaik.!",0
oke,1
oke,1
mantap,1
bagus,1
proses cepat dan memuaskan,1
"aplikasi sangat membantu saya , semua berfungsi normal . bisa memantayjuga keberadaan bis tj nya . fasilitas sangat nyaman ,benar"" wort itu.",1
sangat membantu dengan adanya aplikasi ini terutama untuk info terkait seputar transjakarta dan posisi bus itu,1
aplikasi ini membantu bagi semua orang yang akan melakukan pembelian tiket kereta api. pembelian dapat dilakukan kapan saja tanpa harus antri di stasiun,1
enak gampang sat set.berangkat,1
terima kasih informasinya sangat membantu saya,1
jempol ke atas wajah berkacamata hitam,1
reson bagus pelayanan bagus semoga terus menjadi lebih baik dalam pelayanan konsumen,1
"transjakarta adalah solusi transportasi publik yang efisien dan nyaman di jakarta. bus selalu datang tepat waktu, jalur khusus membuat perjalanan lebih cepat, dan fasilitas di halte cukup lengkap. pelayanannya terus meningkat, cocok untuk kegiatan harian maupun bepergian jauh.",1
bagus,1
"aplikasinya sangat memudahkan saya untuk mencari rute, jadwal bus , dan halte terdekat, tampilan dan penggunaan aplikasi nya sangat praktis dan simpel, best lah pokoknya",1
nilai seratus,1
"fiturnya sangat memudahkan untuk cari rute dan halte, aplikasi tidak lemot, sangat membantu",1
buruk jadwal tidak di temukan,0
nyaman banget pakai aplikasi transjakarta ini. live tracking bus nya akurat jadi gatakut buat ketinggalan busnya. terus bisa juga kalau mau lihat rute ataupun jadwalnya. fitur di aplikasi nya juga mudah dipahami. benar benar berguna banget buat aku yang tiap hari kerja naik tj,1
kai sekarang sudah tidak bisa reschedule/cancel tiket? ini kemarin 3 tiket lenyap karena tidak bisa ikut pemberangkatan tapi tiketnya tidak bisa diapa apai lagi setelah lunas.,0
"pada saat pembukaan hari, pemesan membludak dan sistem. error",0
mesin di halte banyak yang tidak respon sehingga antrian jadi rame,0
bagus! beli tiket kereta mudah dan praktis.,1
sangat baik,1
error tidak bisa pesan tiket,0
aplikasi jelek,0
"aplikasi jalannya lama, dan letak lokasi bus tidak selalu muncul gpsnya sudah di ikuti bagian bus yang sering di tumpangi katanya dengan follow akan ada notif, tapi tidak ada sama sekali",0
"aplikasi tidak jelas dan lemot, sudah cowok tinggal pembayaran saja lemot amat. sudah klik cepat tetap ada tulisannya timeout",0
mantul,1
"data bus tidak sinkron, lemot juga",0
"ma syaaallah tabaarakallaah, kereta bersih, wangi dan sejuk dengan ac. semoga terus lebih baik.",1
"jelek, cs juga tidak kerja slwrspn bgt",0
aplikasi bagus,1
"warga jakarta yang suka naik bus, memang paling benar pakai ini sudah. info rute dan jadwal busnya jelas. ada notif real timenya juga, jadi tidak lama pas menunggu busnya di halte.",1
"aplikasi parah saldo gabalik lagi, mana kalau top up isinya 7000 parah parah",0
aplikasi transjakarta ini sangat berguna bagi saya banyak fitur-fitur transportasi yang ada di aplikasi transjakarta bagus the best,1
lebih nyaman,1
"menu dalam aplikasi salah satunya isi pulsa, laporan nya sukses, tapi pulsa tidak masuk ke nomer yang di isi, sudah dicek berkali kali, memastikan nomer yang dituju benar, tapi pulsa tidak masuk, dan saldo terpotong",0
bagus,1
ok,1
hadeh pas bisa sudah habis tiket stadion nya,0
"sudah dibayar dan saldo berkurang, tetapi tidak mendapatkan tiket, sudah 2 kali",0
