score,at,content,app_name,appVersion,cleaned_content,sentiment
5,9/2/2025 21:02,Awesome.,Access by KAI,6.13.2,awesome.,positive
5,9/2/2025 17:48,mantappp,Access by KAI,6.13.2,mantap,positive
1,9/2/2025 16:28,otp masuk. pasword sesuai syarat. tapi tetep gk mau masuk. gimana ini,Access by KAI,6.13.2,otp masuk. pasword sesuai syarat. tapi tetap tidak mau masuk. bagaimana ini,negative
5,9/2/2025 16:23,wuenak polllll,Access by KAI,,wuenak pol,positive
5,9/2/2025 16:02,"SEJAUH INI BAGUS, TAPI SAYANG PEMBAYARAN VIA BRIMO BRI BELUM TERSEDIA.",Access by KAI,6.13.2,"sejauh ini bagus, tapi sayang pembayaran via brimo bri belum tersedia.",positive
1,9/2/2025 15:43,aplikasi busuk,Access by KAI,,aplikasi busuk,negative
1,9/2/2025 14:19,"pengembalian dananya lama sekali sampai 1 mingguan lebih?? udahlah di potong , lama pula kau mengembalikanya",Access by KAI,6.13.2,"pengembalian dananya lama sekali sampai 1 mingguan lebih wajah dengan simbol pada mulut sudahlah di potong , lama pula kau mengembalikanya",negative
5,9/2/2025 13:59,tepat waktu,Access by KAI,6.13.2,tepat waktu,positive
1,9/2/2025 13:07,aplikasi banyak masalah,Access by KAI,6.13.2,aplikasi banyak masalah,negative
4,9/2/2025 12:54,jos,Access by KAI,6.13.2,jos,positive
1,9/2/2025 11:52,Aplikasi down disaat mau naik kereta. Parah,Access by KAI,,aplikasi down disaat mau naik kereta. parah,negative
1,9/2/2025 10:36,BUAT PASSWORD AJA DIPERSULIT TOLOL,Access by KAI,6.13.2,buat password saja dipersulit tolol,negative
1,9/2/2025 10:27,"gak bisa buat beli tiket, gak bisa di klik",Access by KAI,,"tidak bisa buat beli tiket, tidak bisa di klik",negative
1,9/2/2025 7:12,"Jangan begini dong caranya, saldo KAI langsung di potong adm bank, seharusnya bank yg memotong langsung adm ke saldo tabungan + nominal transfer nya, sudah sistem isi saldo dan pembayaran belum lengkap dan luas, ini main potong saldo saja!!!.",Access by KAI,,"jangan begini dong caranya, saldo kai langsung di potong adm bank, seharusnya bank yang memotong langsung adm ke saldo tabungan + nominal transfer nya, sudah sistem isi saldo dan pembayaran belum lengkap dan luas, ini main potong saldo saja!.",negative
1,9/2/2025 6:36,"halo, kenapa saat mau pesan tiket selalu no seat available padahal jelas-jelas tertulis 2 kursi tersisa. kalau memang sudah habis ya jangan dibiarkan seakan masih bisa pesan tiket. harus ada yg diperbaiki segera.",Access by KAI,6.13.2,"halo, kenapa saat mau pesan tiket selalu no seat available padahal jelas-jelas tertulis 2 kursi tersisa. kalau memang sudah habis ya jangan dibiarkan seakan masih bisa pesan tiket. harus ada yang diperbaiki segera.",negative
1,9/2/2025 5:08,"Lupa kata sandi aja ga bisa diperbaiki, ""proses kata sandi gagal"". Kalau aplikasi belum jelas mending jangan dirilis, apalgi jadi yang paling update, apa ga ada tim yg cek BUG??????",Access by KAI,,"lupa kata sandi saja tidak bisa diperbaiki, ""proses kata sandi gagal"". kalau aplikasi belum jelas mending jangan dirilis, apalagi jadi yang paling update, apa tidak ada tim yang cek bug?",negative
5,9/2/2025 5:03,cepat dan praktis,Access by KAI,6.13.2,cepat dan praktis,positive
5,9/2/2025 4:38,Acses mudah dan cepat,Access by KAI,6.13.2,acses mudah dan cepat,positive
1,9/2/2025 4:34,aplikasi gajelas jelek banget mau daftar aja susah pake acara di bekuin akun,Access by KAI,6.13.2,aplikasi tidak jelas jelek banget mau daftar saja susah pakai acara di bekuin akun,negative
3,9/2/2025 4:13,"Top up udah succes pembayarannya, di aplikasi KAI saldo lama masuknya, gak realtime",Access by KAI,,"top up sudah succes pembayarannya, di aplikasi kai saldo lama masuknya, tidak realtime",neutral
5,9/2/2025 4:06,ntaps...,Access by KAI,6.13.2,ntaps.,positive
1,9/2/2025 3:56,"Aplikasi gak berguna mau daftar aja susah y minta ampun,,,tolong lah diperbaiki sistem aplikasi y,,,mau masuk ke akun aja susah y minta ampun,,,aplikasi gak jelas bahkan semakin gak jelas aplikasi y",Access by KAI,6.13.2,"aplikasi tidak berguna mau daftar saja susah ya meminta ampun,tolong lah diperbaiki sistem aplikasi ya,mau masuk ke akun saja susah ya meminta ampun,aplikasi tidak jelas bahkan semakin tidak jelas aplikasi ya",negative
5,9/2/2025 3:53,thanks kai,Access by KAI,6.13.2,thanks kai,positive
5,9/2/2025 3:50,baik,Access by KAI,6.13.2,baik,positive
5,9/2/2025 2:57,Perjalanan nyaman dan pelayanan memuaskan,Access by KAI,6.13.2,perjalanan nyaman dan pelayanan memuaskan,positive
1,9/2/2025 2:17,percuma ada apk..cuma bisa ngeload doang ujung2 nya kaga bisa ke akses pesen krl.ga guna anj,Access by KAI,,percuma ada aplikasi.cuma bisa ngeload doang ujung-ujung nya tidak bisa ke akses pesan krl.tidak guna anjing,negative
5,9/2/2025 1:25,??,Access by KAI,6.13.2,jempol ke atas,positive
5,9/2/2025 0:51,mantap,Access by KAI,6.13.2,mantap,positive
5,9/2/2025 0:40,Praktis,Access by KAI,6.13.2,praktis,positive
5,9/2/2025 0:35,keren...,Access by KAI,6.13.2,keren.,positive
3,9/2/2025 0:11,"update mulu dah, tiap mau beli harus update",Access by KAI,6.12.1,"update mulu deh, tiap mau beli harus update",neutral
5,9/1/2025 23:59,"membantu, ga ribet... cuma buat pilih kursi harus lihat youtube dlu, biar ga jalan mundur. seharusnya utk pilih kursi sdh ditentukan arah jalannya kereta biar ga salah. trimakasih.",Access by KAI,6.13.2,"membantu, tidak ribet. cuma buat pilih kursi harus lihat youtube dulu, biar tidak jalan mundur. seharusnya untuk pilih kursi sudah ditentukan arah jalannya kereta biar tidak salah. trimakasih.",positive
5,9/1/2025 23:26,mantab,Access by KAI,6.13.2,mantab,positive
5,9/1/2025 23:09,baguss sangat membantuu,Access by KAI,6.13.2,bagus sangat membantu,positive
1,9/1/2025 22:43,aplikasi kooo0ntol,Access by KAI,6.13.2,aplikasi kooo0ntol,negative
5,9/1/2025 22:25,bagus,Access by KAI,6.13.2,bagus,positive
5,9/1/2025 22:13,baguss,Access by KAI,6.13.2,bagus,positive
4,9/1/2025 18:02,oke bagus,Access by KAI,6.13.2,oke bagus,positive
4,9/1/2025 17:27,"umpama sy tinggal di jogya sedang KAI beli tiketnya ada di lempuyangan, bisakah sy naik dari jogya",Access by KAI,,"umpama saya tinggal di jogya sedang kai beli tiketnya ada di lempuyangan, bisakah saya naik dari jogya",positive
1,9/1/2025 17:05,"aplikasinya jelek bgt, cuma mau ngecek jadwal kereta KRL aja susahnya minta ampun kalau ga 'data tidak ditemukan' ya ga muncul sama sekali padahal udah di setting jelas stasiun dan jamnya, jaringan juga bagus. Di Web juga gitu, sama aja kadang bisa kadang ngga. Tolong ya diperbaiki jgn cuma tampilannya aja yg dibagusin",Access by KAI,6.13.2,"aplikasinya jelek banget, cuma mau mengecek jadwal kereta krl saja susahnya meminta ampun kalau tidak 'data tidak ditemukan' ya tidak muncul sama sekali padahal sudah di setting jelas stasiun dan jamnya, jaringan juga bagus. di web juga begitu, sama saja kadang bisa kadang tidak. tolong ya diperbaiki jangan cuma tampilannya saja yang dibagusin",negative
